subjects	peptides
1	68608383
2	10267313
3	4167207
4	2294572
5	1465382
6	1025016
7	760049
8	583802
9	465713
10	380905
11	314935
12	266896
13	228468
14	198273
15	173034
16	152960
17	136083
18	121403
19	109506
20	99023
21	89293
22	82165
23	75192
24	69354
25	63717
26	58499
27	54513
28	51003
29	47442
30	44410
31	41086
32	38591
33	35937
34	33850
35	31523
36	29661
37	28378
38	26817
39	25251
40	23816
41	22382
42	21188
43	19916
44	19009
45	17948
46	17239
47	16102
48	15491
49	14819
50	14082
51	13657
52	12892
53	12048
54	11600
55	11050
56	10673
57	10417
58	9677
59	9600
60	9150
61	8666
62	8372
63	7994
64	7625
65	7373
66	7092
67	6881
68	6731
69	6593
70	6197
71	5957
72	5760
73	5624
74	5395
75	5230
76	5202
77	4920
78	4842
79	4642
80	4576
81	4419
82	4250
83	4069
84	4001
85	3921
86	3825
87	3749
88	3667
89	3718
90	3517
91	3400
92	3502
93	3306
94	3200
95	3135
96	2990
97	3065
98	2984
99	2992
100	2818
101	2772
102	2770
103	2619
104	2697
105	2628
106	2650
107	2560
108	2452
109	2462
110	2316
111	2393
112	2396
113	2312
114	2329
115	2208
116	2184
117	2252
118	2212
119	2159
120	2193
121	2243
122	2183
123	2169
124	2268
125	2198
126	2224
127	2144
128	2184
129	2256
130	2202
131	2257
132	2251
133	2350
134	2388
135	2532
136	2616
137	2901
138	3237
139	3735
140	4207
141	4921
142	5333
143	6447
144	5992
145	5098
146	4430
147	4395
148	5381
149	2790
150	2838
151	5080
152	327
153	211
154	94
